SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FGA,FTA,TOV,AST_PCT,TEAM_NAME,GP_TEAM,FGA_TEAM,FTA_TEAM,TOV_TEAM,PLAYER_POSSESSIONS,TEAM_POSSESSIONS,USG_PCT,SELF_CREATION_INDEX,AST_TO_USG_RATIO,SHOT_CREATION_LOAD,SELFISHNESS_SCORE,KOBE_QUOTIENT,TEAM_RANK,LEAGUE_RANK
2023-24,1629670,Jordan Nwora,1610612761,TOR,52,711.3933333333333,299,53,53,0.134,Toronto Raptors,82,7356,1772,1147.0,375.32,9282.68,0.04043228895103569,0.040378109683841305,0.03314182883939039,0.7966535223276138,57.49676200459371,0.040378109683841305,11,326
2023-24,1631165,Keon Ellis,1610612758,SAC,57,978.485,232,35,37,0.115,Sacramento Kings,82,7455,1710,1078.0,284.4,9285.4,0.030628728972365217,0.030593505934046996,0.037546448663853725,0.8157524613220817,57.49419838533625,0.030593505934046996,12,327
2023-24,1630700,Dyson Daniels,1610612740,NOP,61,1358.525,311,53,59,0.157,New Orleans Pelicans,82,7165,1873,1067.0,393.32,9056.119999999999,0.04343140329412597,0.04336321599095419,0.03614895860876639,0.7907047696532086,57.48855152482921,0.04336321599095419,13,328
2023-24,1631205,Buddy Boeheim,1610612765,DET,10,84.00166666666667,29,10,0,0.054,Detroit Pistons,82,7236,1780,1248.0,33.4,9267.2,0.003604109116022099,0.003602162897099447,0.14982898203592818,0.8682634730538923,57.48783382571874,0.003602162897099447,15,329
2023-24,203083,Andre Drummond,1610612741,CHI,79,1351.2516666666668,480,218,81,0.041,Chicago Bulls,82,7339,1731,1004.0,656.92,9104.64,0.07215222128497117,0.07212263887424433,0.0056824307373805035,0.730682579309505,57.48334043758895,0.07212263887424433,12,330
2023-24,1628966,Keita Bates-Diop,1610612751,BKN,53,664.59,166,42,15,0.084,Brooklyn Nets,82,7307,1711,1076.0,199.48,9135.84,0.02183488327291196,0.021816541970962715,0.03847055143372769,0.8321636254261079,57.48306783943865,0.021816541970962715,9,331
2023-24,1629750,Javonte Green,1610612741,CHI,9,230.4,75,13,7,0.027,Chicago Bulls,82,7339,1731,1004.0,87.72,9104.64,0.009634647827920709,0.00963204647300717,0.028023857729138166,0.8549931600547196,57.474449114211225,0.00963204647300717,13,332
2023-24,1631119,Jaylin Williams,1610612760,OKC,69,896.9466666666667,228,41,34,0.162,Oklahoma City Thunder,82,7324,1759,1039.0,280.03999999999996,9136.96,0.030649143697685007,0.03059949208489476,0.05285628910155692,0.8141694043708043,57.4445538353235,0.03059949208489476,13,333
2023-24,1628372,Dennis Smith Jr.,1610612751,BKN,56,1058.6583333333333,338,58,68,0.276,Brooklyn Nets,82,7307,1711,1076.0,431.52,9135.84,0.04723375190458677,0.04710338674933011,0.05843279199110123,0.7832777159807194,57.44450439579786,0.04710338674933011,10,334
2023-24,203957,Danté Exum,1610612742,DAL,55,1087.6216666666667,302,68,49,0.181,Dallas Mavericks,82,7352,1842,1027.0,380.92,9189.48,0.041451746997653846,0.04137671933558809,0.043665228394413516,0.7928173894781056,57.44201766946827,0.04137671933558809,9,335
