game_id,home_team,away_team,home_flagrants,away_flagrants,home_score,away_score
0022300941,1610612760,1610612754,0,0,111,121
0022300945,1610612758,1610612749,0,0,129,94
0022300940,1610612763,1610612764,0,0,109,97
0022300943,1610612762,1610612738,0,0,107,123
0022300942,1610612759,1610612745,0,0,101,103
0022300939,1610612752,1610612755,0,0,106,79
0022300938,1610612757,1610612738,0,0,99,121
0022300937,1610612743,1610612761,0,0,125,119
0022300936,1610612759,1610612744,0,0,102,112
0022300933,1610612765,1610612766,1,0,114,97
0022300934,1610612739,1610612756,0,0,111,117
0022300935,1610612741,1610612742,0,0,92,127
0022300932,1610612747,1610612750,0,0,120,109
0022300924,1610612746,1610612749,0,0,117,124
0022300928,1610612753,1610612754,0,0,97,111
0022300930,1610612739,1610612751,0,0,101,120
0022300925,1610612737,1610612740,0,0,103,116
0022300927,1610612752,1610612755,0,0,73,79
0022300929,1610612758,1610612745,0,0,104,112
0022300931,1610612760,1610612763,0,0,124,93
0022300926,1610612748,1610612764,0,0,108,110
0022300922,1610612743,1610612762,0,0,142,121
0022300920,1610612756,1610612738,0,0,107,117
0022300918,1610612766,1610612751,1,0,110,99
0022300921,1610612744,1610612759,0,0,113,126
0022300919,1610612765,1610612742,1,0,124,142
0022300923,1610612757,1610612761,0,0,128,118
0022300917,1610612746,1610612741,0,0,112,102
0022300912,1610612752,1610612753,0,0,98,74
0022300915,1610612747,1610612749,0,0,123,122
0022300913,1610612763,1610612737,0,0,92,99
0022300909,1610612755,1610612740,0,0,95,103
0022300910,1610612764,1610612766,0,0,112,100
0022300916,1610612757,1610612745,0,0,107,123
0022300914,1610612760,1610612748,0,0,107,100
0022300911,1610612739,1610612750,0,1,113,104
0022300903,1610612754,1610612750,0,0,111,113
0022300907,1610612744,1610612741,0,0,122,125
0022300905,1610612756,1610612761,0,0,120,113
0022300906,1610612743,1610612738,0,0,115,109
0022300902,1610612765,1610612751,0,0,118,112
0022300904,1610612742,1610612748,0,1,114,108
0022300908,1610612758,1610612759,0,0,131,129
0022300898,1610612762,1610612741,0,0,117,119
0022300901,1610612747,1610612758,0,0,120,130
0022300897,1610612745,1610612746,0,0,116,122
0022300895,1610612737,1610612739,0,0,112,101
